topic_id,size,name,keywords
-1,108,-1_revolut_card_account_tap,
0,23,0_travel_travel insurance_insurance_chubb,"travel, travel insurance, insurance, chubb, trip, cover, claim, covered, revolut travel, coverage"
1,20,1_purchases_reward_referrals_campaign,"purchases, reward, referrals, campaign, invitee, step, deadline, referral, count, friend"
2,19,2_network_crypto_address_deposit,"network, crypto, address, deposit, networks, blockchain, transaction, wallet, addresses, ramp"
3,18,3_passcode_log_device_id,"passcode, log, device, id, phone number, email, phone, verify, face id, number"
4,17,4_subscription_benefit_ultra customers_ultra,"subscription, benefit, ultra customers, ultra, access, metal, metal ultra, benefits tap, plan scroll, activate"
5,16,5_kids_teens_kids teens_teens account,"kids, teens, kids teens, teens account, kid, revolut kids, child, teens card, select kids, balance tap"
6,14,6_event_trip_trip event_reason,"event, trip, trip event, reason, cancellation, cancel reason, claim, cancel, cancellation protection, ultra"
7,13,7_tax_national_identification_national id,"tax, national, identification, national id, identification number, id, country, provide, number, tax identification"
8,12,8_fscs_protected_compensation_savings,"fscs, protected, compensation, savings, scheme, scheme fscs, compensation scheme, bank, 120000, services compensation"
9,12,9_document_documents_identity_proof,"document, documents, identity, proof, upload, accepted, verification, selfie, photo, address"
10,12,10_delivery_card_cards_design,"delivery, card, cards, design, card order, order, physical, standard, customisation, physical card"
11,11,11_esim_data_plan_mobile,"esim, data, plan, mobile, esim data, plans, sim, number, mobile plan, purchase"
12,11,12_joint_joint account_account_close,"joint, joint account, account, close, close account, closure, accounts, account holder, account close, account holders"
13,10,13_transfer_reverted_pending_business days,"transfer, reverted, pending, business days, recipient, bank, funds, transfer pending, business, days"
14,10,14_transfer_recipient_beneficiary_cancel,"transfer, recipient, beneficiary, cancel, payment link, recipients, trusted, sent, cancel transfer, recall"
15,9,15_pocket_pockets_group_group pocket,"pocket, pockets, group, group pocket, choose pocket, admin, choose, pocket tap, unlink, tap accounts"
16,9,16_pin_apple_apple pay_pay,"pin, apple, apple pay, pay, card, verification, contactless, security, app, otp"
17,9,17_moved_account moved_revolut bank_moved revolut,"moved, account moved, revolut bank, moved revolut, account, bank, close account, emoney, personal account, implications"
18,9,18_pet_pet insurance_policy_insurance,"pet, pet insurance, policy, insurance, insurance policy, american, renewal, video, greek, cover"
19,8,19_billing_plan_mobile plan_paid plan,"billing, plan, mobile plan, paid plan, plan payment, secondary, secondary number, mobile, paid, invoice"
20,8,20_isa_stocks shares_shares_shares isa,"isa, stocks shares, shares, shares isa, stocks, dividends, allowance, corporate, tax, corporate actions"
21,8,21_order_stop_orders_price,"order, stop, orders, price, buy, sell, stock, limit, stop price, limit order"
22,8,22_trading pro_commissionfree_allowance_trading,"trading pro, commissionfree, allowance, trading, fees, trades, fee, trial, commission, pro"
23,8,23_etns_crypto etns_investor_highrisk,"etns, crypto etns, investor, highrisk, investment, invest, investments, net, cryptoassets, highrisk investments"
24,8,24_statement_statements_documents_download,"statement, statements, documents, download, consolidated, documents statements, select documents, generated, download statement, documents provide"
25,7,25_savings_access savings_rate_instant access,"savings, access savings, rate, instant access, instant, prize, savings account, challenge, aer, weeks"
26,7,26_virtual_virtual card_singleuse_card,"virtual, virtual card, singleuse, card, cards, virtual cards, singleuse virtual, card details, active, pay"
27,7,27_items_purchase_purchase insurance_qover,"items, purchase, purchase insurance, qover, insurance, item, protection, coverage, purchase protection, cover"
28,7,28_pass_lounge_airport_passes,"pass, lounge, airport, passes, fast, fast track, airport lounge, lounges, track, lounge passes"
29,7,29_gift_paid plan_plan_paid,"gift, paid plan, plan, paid, gifts, friend, premium plan, premium, annual, accept"
30,7,30_negative_transaction_negative balance_payment,"negative, transaction, negative balance, payment, balance, pending, delayed, reverted, merchant, card payment"
31,7,31_bank_easy bank_bank transfer_external,"bank, easy bank, bank transfer, external, easy, salary, external bank, transfer, early, bank account"
32,7,32_stock_shares_company_share,"stock, shares, company, share, fractional, ratio, fractional shares, equity, earnings, split"
33,7,33_hours_trading_extended_orders,"hours, trading, extended, orders, trading hours, regular, market, order, buy, executed"
34,7,34_order_price_stop_usd,"order, price, stop, usd, stop order, limit, sell, buy, stop price, executed"
35,6,35_click pay_click_linked_wallets,"click pay, click, linked, wallets, email mobile, pay, card, wallet, cards, card click"
36,6,36_currencies_unsupported_republic_chf,"currencies, unsupported, republic, chf, supported, nok, following currencies, peoples, maarten, sek sgd"
37,6,37_services_authority_data_revolut trading,"services, authority, data, revolut trading, bank uk, uk, revolut revolut, conduct authority, financial conduct, services provided"
38,6,38_qover_claim_search_insurance,"qover, claim, search, insurance, documents, protection, insurance select, contact qover, search insurance, screen search"
39,6,39_number_number transfer_provider_transfer number,"number, number transfer, provider, transfer number, transfer, transfer revolut, previous provider, stac, number revolut, previous"
40,6,40_analytics_spending_custom_widget,"analytics, spending, custom, widget, income, asset, total wealth, insights, total, dashboard"
41,6,41_scheduled_category_scheduled transfer_categories,"scheduled, category, scheduled transfer, categories, transfer, calendar icon, direct, custom, calendar, direct debit"
42,6,42_income_sorter_income sorter_sort,"income, sorter, income sorter, sort, sorted, properties, commission, accounts pockets, securities, accounts"
43,6,43_tier_pricing_volume_fee,"tier, pricing, volume, fee, tiered, fees, trade, usage, commodities, trading"
44,6,44_language_currency_exchange_currency account,"language, currency, exchange, currency account, beneficiary, currencies, languages, devices, list, exchange rate"
45,6,45_gambling_advice_support_groups,"gambling, advice, support, groups, health, 0800, organisations, mental, charities, visit"
46,6,46_card_reactivate_replace_isnt working,"card, reactivate, replace, isnt working, card isnt, replacement, cards, cards icon, replace card, icon topright"
47,6,47_cashback_pro_revolut pro_business,"cashback, pro, revolut pro, business, sales, tools, monthly, payment acceptance, acceptance, revenue"
48,6,48_complaint_chat_support_voice,"complaint, chat, support, voice, feedback, resolution, inapp chat, advice, porting, help"
49,5,49_reimbursement_scam_fraud_payment,"reimbursement, scam, fraud, payment, authorised, push, assess, caution, claim, defrauded"
50,5,50_intermediary_fees_bank_international,"intermediary, fees, bank, international, fee, intermediary bank, charge, upfront, transfer, intermediary banks"
51,5,51_bonds_bond_coupon_maturity,"bonds, bond, coupon, maturity, issuer, risk, repaid, equities, coupon payments, definitions"
52,5,52_crypto_crypto card_wallet_app crypto,"crypto, crypto card, wallet, app crypto, crypto accounts, newly, crypto account, crypto menu, adding, added"
53,5,53_downgrade_plan_paid plan_paid,"downgrade, plan, paid plan, paid, break, downgrade fees, 14 days, 14, plan fee, plan tap"
54,5,54_hide_revtag_accounts_notifications,"hide, revtag, accounts, notifications, flip, discoverability, pockets savings, settings, disable, revtags"
55,5,55_spare change_spare_donations_change,"spare change, spare, donations, change, donation, nearest, rounded, rounded nearest, donate, charity"
56,5,56_countries_eligible countries_models_lithuania,"countries, eligible countries, models, lithuania, pay, poland, europe, ireland, spain, google pay"
57,5,57_russia_belarus_supported_card transfer,"russia, belarus, supported, card transfer, ukraine, transfer, countries, supported spending, luhansk, kherson"
58,5,58_fees_withdrawal_fee_exchanges,"fees, withdrawal, fee, exchanges, exchange fees, weekend, charged, exchange, usage, 05"
59,5,59_topup_deposit_topups_add,"topup, deposit, topups, add, add money, pay google, google, pay, apple, methodhttpsapprevolutcomautotopuprevolutapptopupmethod"
60,5,60_closed_death_restricted_investment account,"closed, death, restricted, investment account, close investment, account, closure, persons, email, close"
61,5,61_products_provided revolut_revolut bank_transition,"products, provided revolut, revolut bank, transition, provided, account transition, bank uk, changes, affected, bank"
62,5,62_declined_payment declined_merchant_card linked,"declined, payment declined, merchant, card linked, declined transaction, card, try, check card, payment, check"
63,5,63_reader_revolut reader_inperson_accept,"reader, revolut reader, inperson, accept, sale, revolut terminals, accept payments, payments, terminals, pro account"
64,5,64_plans_everyday_month_plan,"plans, everyday, month, plan, benefits, everyday protection, benefits sidebyside, sidebyside, compare plans, additional fees"
65,5,65_airline_miles_loyalty_points,"airline, miles, loyalty, points, airline miles, airline loyalty, revpoints, redeem, 100, air miles"
66,5,66_revpoints_points_offers_earn,"revpoints, points, offers, earn, data, points balance, recurring, rewards, pro perks, package"
67,4,67_block_merchant_unblock_gambling,"block, merchant, unblock, gambling, payments, subscription, gambling block, blocked, merchants, payment merchant"
68,4,68_payment link_link_request money_request,"payment link, link, request money, request, revolutme, payment, links, money, create payment, money payment"
69,4,69_street mode_street_security_mode,"street mode, street, security, mode, location, locations, trusted, trusted locations, locationbased, wealth protection"
70,4,70_dispute_refund_merchant_case,"dispute, refund, merchant, case, evidence, chargeback, days, process, sufficient, decision"
71,4,71_web terminal_web_ramp_revolut ramp,"web terminal, web, ramp, revolut ramp, terminal, crypto, koinly, onboarding, investor, koinlys"
72,4,72_firmware_manufacturers_device_official,"firmware, manufacturers, device, official, manufacturer, software, operating, device manufacturers, depending device, device manufacturer"
73,4,73_direct debit_direct_debit_dont money,"direct debit, direct, debit, dont money, recipient, scheduled, failed, pocket, currency, account assigned"
74,4,74_iphone_pay iphone_tap pay_pay,"iphone, pay iphone, tap pay, pay, contactless, accept, contactless payments, pay apple, approved, payments"
75,4,75_stock_delisted_stocks_delisting,"stock, delisted, stocks, delisting, trading, sell, aim, position, exchanges, executiononly service"
76,4,76_commodities_currency equivalent_polygon_selling,"commodities, currency equivalent, polygon, selling, equivalent, supported, usdt, buying, metals, precious metals"
77,4,77_staking_rewards_unified_crypto,"staking, rewards, unified, crypto, unstake, balance, tokens, crypto balance, main revolut, main"
78,4,78_private_private keys_keys_cryptocurrencies,"private, private keys, keys, cryptocurrencies, exposure, cryptocurrency, ledger, custodians, crypto, blockchain"
79,4,79_etps_underlying_complex_inverse,"etps, underlying, complex, inverse, exchangetraded, performance, asset, leveraged, test, etp"
80,4,80_cifas_small_use_link,"cifas, small, use, link, scammers, card details, details, card, freeze, login"
