title,topic_id
How can I see my cashflow analytics?,40
How can I see my spending and income analytics?,40
How can I see my total wealth analytics?,40
How do I add a custom asset to my total wealth view?,40
How to assign and adjust categories,41
Create and manage custom categories for transactions,41
How does sorting to investments work?,42
How are trips defined for travel analytics?,0
How can I see my travel analytics?,40
How does travel mode work?,-1
Using the Income Sorter feature,42
What is the analytics dashboard?,40
Why wasn’t my income sorted?,42
How does Bulgaria adopting the Euro affect me?,-1
What is Open Banking and how does it work?,-1
How will the account transition affect returns/chargebacks?,61
Are funds in my  independent teen account FSCS protected?,8
Can I keep my e-money account?,17
Does the account transfer impact my plan insurance cover?,0
How will I know when my account has been moved?,17
Is my account eligible to be moved to Revolut Bank?,17
Is the money in my Savings account protected by the FSCS?,8
"Now that Revolut is a bank, how is my money protected?",8
What do I need to do to move my account to a bank account?,17
What happens to my data while my account is being moved?,17
What will happen to my account when it’s moved?,8
What will happen to my Joint account?,17
Who regulates Revolut Bank and where can I complain?,37
Why is Revolut becoming a bank in the UK?,8
Will my account be at risk while it's being moved over?,17
Will my account details change after my account is moved?,17
Will my fees and charges change now that Revolut is a bank?,61
Will Revolut Bank have physical branches?,88
Will the account transition have any tax implications?,17
Will this affect my other Revolut products?,61
Why didn't I get a bank account when I signed up?,8
Will my hardware be affected by the account transition?,61
Will the transition affect my Pro products and services?,61
Why is my balance now negative?,30
Add money in one tap,31
Add money with a bank transfer,31
Add money with an easy bank transfer,31
Get paid early with Early Salary,31
Card deposit limits and fees,102
How to make cash deposits,59
Disruptions to adding money with Visa cards,87
Receiving money to my Revolut card,-1
How to add money with a card,59
Add money with Apple Pay or Google Pay,59
Auto top-ups,59
Manage my deposit cards,59
My card deposit didn't work,-1
Restricted card deposits,87
Ukraine card top-up limits,87
Why was my top-up reverted?,30
Cards and currencies supported for adding money,36
Why your card top-ups may be blocked,-1
Requesting money with a payment link,68
How to split a bill with another Revolut customer,-1
Am I covered by Ultra trip cancellation protection if I need to cancel a flight while abroad?,6
Am I covered for trips or events that I didn't purchase with my Revolut account with Ultra trip and event cancellation protection?,6
Ultra trip & event cancellation with companion coverage,6
How do I get an update on my existing claim?,38
Cancel for any reason complaints,38
How do I make a cancel for any reason protection claim?,6
My supplier won’t let me cancel my trip/event. Am I covered with Ultra trip and event cancellation protection?,6
Does moving home affect Ultra trip and event coverage?,0
Will I get a full refund for my trip or event cancellation?,6
What are the limits of cover and deductibles?,6
Getting started with cancel for any reason protection,6
Documents needed for an Ultra trip and event cancellation protection claim,6
What is a trip?,6
What is an event?,6
Who provides Ultra trip and event cancellation protection?,6
How do I link an external account to Revolut?,31
Manage my external linked accounts in Revolut,-1
Can I accept multiple paid plan gifts?,29
Gifting a paid plan,29
How to share your birthday on Revolut,29
Receiving paid plan gifts,29
Sending paid plan gifts,29
What happens once the gifted paid plan duration ends?,29
Earning interest with Savings,25
