title,topic_1,label_1,topic_2,label_2,p1,p2,margin
Trading value limits,0,Trading order types,39,Corporate actions on shares,0.257,0.257,0.001
Manage subscription payments to merchants,21,Declined card payments and balances,11,Accessing plan partner subscriptions,0.276,0.275,0.002
When will I receive my Revolut Terminal?,45,Revolut Pro features and cashback,28,Ordering physical cards,0.36,0.357,0.003
I want to cancel my transfer to a card,7,Schedule and cancel transfers,9,Transfer status and processing times,0.335,0.332,0.003
Forgotten passcode for a Kids & Teens account,15,Kids and Teens Account Management,10,Logging in with phone number,0.311,0.308,0.003
Is my private information safe?,12,Account security features,30,eSIM data plan setup,0.473,0.47,0.004
Freeze a card,1,Reporting scams and fraud,41,Physical card activation and replacement,0.185,0.179,0.005
Koinly crypto tax reports,5,Revolut crypto trading and setup,4,Reporting vulnerable circumstances,0.213,0.207,0.006
How does Revolut protect me against fraud?,38,Virtual card usage and limits,12,Account security features,0.292,0.286,0.006
Managing mobile plans and add-ons,20,Downgrading paid plans,34,Mobile number transfer,0.259,0.253,0.006
My phone suddenly lost signal,1,Reporting scams and fraud,34,Mobile number transfer,0.244,0.235,0.009
Add money to your savings account,27,Pockets and Spare Change Donations,37,Instant Access Savings Interest Rates,0.236,0.226,0.01
How to split a bill with another Revolut customer,7,Schedule and cancel transfers,43,Gifting paid plans,0.337,0.327,0.01
Why is my ATM withdrawal pending?,24,Cash withdrawal and exchange fees,9,Transfer status and processing times,0.196,0.183,0.013
Personalise RevPoints,30,eSIM data plan setup,18,RevPoints earning and redemption,0.452,0.438,0.015
How do I update my trading account details?,29,Tax and national ID requirements,10,Logging in with phone number,0.284,0.265,0.019
Close my Savings account,31,Joint account management,37,Instant Access Savings Interest Rates,0.241,0.222,0.019
Decline reasons on Apple Pay and Google Pay,21,Declined card payments and balances,46,Adding cards to Apple Pay,0.22,0.199,0.021
Trading watchlist and price alerts,0,Trading order types,10,Logging in with phone number,0.183,0.161,0.022
Who is Revolut Trading Ltd authorised by?,29,Tax and national ID requirements,4,Reporting vulnerable circumstances,0.282,0.258,0.024
Ultra plan,22,Cancel for any reason protection,11,Accessing plan partner subscriptions,0.146,0.122,0.024
Why has my card transfer failed or been declined?,7,Schedule and cancel transfers,14,Bank transfers to Revolut,0.303,0.279,0.024
OTC stocks,0,Trading order types,39,Corporate actions on shares,0.303,0.278,0.025
I'm having trouble using my Revolut Terminal,30,eSIM data plan setup,45,Revolut Pro features and cashback,0.397,0.372,0.025
Buy bonds in the Revolut app,35,Stocks and Shares ISA,0,Trading order types,0.159,0.135,0.025
What is Revolut Reader and how do I use it?,13,13_pay_card_money_payment,45,Revolut Pro features and cashback,0.27,0.244,0.026
What is a Special Purpose Acquisition Company (SPAC)?,17,Exchange Traded Products,39,Corporate actions on shares,0.478,0.452,0.026
Revolut Pro invoices,15,Kids and Teens Account Management,13,13_pay_card_money_payment,0.168,0.142,0.026
Cover for cancelled and interrupted trips,2,Travel insurance coverage,22,Cancel for any reason protection,0.38,0.352,0.027
"My friend ordered a card, but I didn’t get the reward. Why?",6,Referral purchase requirements,28,Ordering physical cards,0.271,0.244,0.027
Transferring funds to an external card,14,Bank transfers to Revolut,16,Currency exchange and transfer fees,0.256,0.224,0.032
Do I have an individual cryptocurrency wallet?,38,Virtual card usage and limits,44,Click to Pay card management,0.272,0.238,0.033
My card has been swallowed by an ATM,41,Physical card activation and replacement,28,Ordering physical cards,0.208,0.175,0.034
Why was my top-up reverted?,14,Bank transfers to Revolut,21,Declined card payments and balances,0.278,0.243,0.035
How to set up Direct Debits in Pro,7,Schedule and cancel transfers,45,Revolut Pro features and cashback,0.327,0.292,0.035
Mobile plan allowance and consumption,30,eSIM data plan setup,20,Downgrading paid plans,0.278,0.238,0.039
I want to cancel a bank transfer,7,Schedule and cancel transfers,9,Transfer status and processing times,0.262,0.221,0.04
Get started with Revolut X,10,Logging in with phone number,24,Cash withdrawal and exchange fees,0.174,0.132,0.041
Using your credit card or a personal loan to trade stocks,17,Exchange Traded Products,42,Financial analytics dashboard,0.262,0.221,0.041
My card was stolen. What should I do?,41,Physical card activation and replacement,46,Adding cards to Apple Pay,0.215,0.174,0.041
Setting up a virtual crypto card,38,Virtual card usage and limits,5,Revolut crypto trading and setup,0.203,0.16,0.042
Problems with a refund,9,Transfer status and processing times,21,Declined card payments and balances,0.367,0.325,0.042
Request a Revolut – Kids & Teens virtual card,15,Kids and Teens Account Management,38,Virtual card usage and limits,0.34,0.298,0.042
Does moving home affect Ultra trip and event coverage?,22,Cancel for any reason protection,2,Travel insurance coverage,0.25,0.207,0.043
Commodities supported features,27,Pockets and Spare Change Donations,26,FSCS fund protection,0.266,0.222,0.044
How to withdraw a foreign currency,24,Cash withdrawal and exchange fees,16,Currency exchange and transfer fees,0.283,0.239,0.044
How do I block and unblock a merchant?,1,Reporting scams and fraud,21,Declined card payments and balances,0.257,0.212,0.045
Open and manage additional currency accounts,16,Currency exchange and transfer fees,14,Bank transfers to Revolut,0.227,0.181,0.046
What does Revolut use my data for?,25,Identity verification documents,33,Download statements and documents,0.26,0.213,0.046
The name on my card is incorrect,28,Ordering physical cards,10,Logging in with phone number,0.239,0.192,0.048
Public Figure Check - More Information,29,Tax and national ID requirements,11,Accessing plan partner subscriptions,0.331,0.283,0.049
My Ramp payment failed. What should I do?,21,Declined card payments and balances,5,Revolut crypto trading and setup,0.282,0.231,0.051
Getting started with Joint Savings,31,Joint account management,37,Instant Access Savings Interest Rates,0.324,0.272,0.052
Report a fraudulent ATM withdrawal,1,Reporting scams and fraud,24,Cash withdrawal and exchange fees,0.287,0.236,0.052
I'm unable to send money to another Revolut customer,7,Schedule and cancel transfers,12,Account security features,0.17,0.118,0.053
Which merchants are not supported by Revolut?,24,Cash withdrawal and exchange fees,16,Currency exchange and transfer fees,0.239,0.185,0.053
Order a physical card for Referrals reward,6,Referral purchase requirements,28,Ordering physical cards,0.313,0.259,0.054
Getting started with Revolut,31,Joint account management,25,Identity verification documents,0.22,0.166,0.054
Confirm your personal details again,25,Identity verification documents,29,Tax and national ID requirements,0.301,0.245,0.057
