topic_id,llm_label,keywords,size,representative_titles
0,Trading order types,"order, price, orders, trading, stop, market, buy, sell, limit, stock",43,Crypto stop order | Can I set target prices for exchanging cryptocurrency? | Trading order types
1,Reporting scams and fraud,"scammers, fraud, block, report, phone, freeze, scam, payment, fraudulent, card",31,Received an unexpected link? | Feeling pressured or threatened? | Urgent text from a kid or friend?
2,Travel insurance coverage,"travel, insurance, travel insurance, chubb, trip, cover, claim, covered, policy, coverage",24,Who is covered by travel insurance? | Cover for delayed trips | Trips covered by travel insurance
3,Crypto deposit troubleshooting,"crypto, address, network, wallet, deposit, transaction, blockchain, networks, addresses, ramp",25,Pending crypto deposits | Can't see my deposit in-app | Receive (deposit) crypto from an external address
4,Reporting vulnerable circumstances,"support, gambling, advice, circumstances, complaint, chat, financial, vulnerable, help, form",23,Reporting vulnerable circumstances to Revolut | Reporting vulnerable circumstances to Revolut | How can I share sensitive information with Revolut?
5,Revolut crypto trading and setup,"crypto, tokens, revolut, cryptocurrency, cryptocurrencies, staking, fiat, ramp, learn, token",26,Buy and sell crypto | Crypto account onboarding requirements | Revolut crypto features and products
6,Referral purchase requirements,"purchases, referrals, reward, campaign, invitee, card, step, deadline, physical card, make",22,"What are the requirements for 3 purchases? | My friend made 3 purchases, but I didn’t get the reward | Is a physical card required for your friend's purchases?"
7,Schedule and cancel transfers,"transfer, scheduled, direct, recipient, direct debit, category, debit, tap, scheduled transfer, cancel",26,I want to cancel a bank transfer | Schedule a transfer | Manage scheduled transfers
8,Supported currencies and cards,"supported, currencies, countries, republic, currently, unsupported, cards, transfers, following, support",19,Supported currencies for outgoing transfers | What currencies are supported for spending? | Cards and currencies supported for adding money
9,Transfer status and processing times,"transfer, days, reverted, business days, transfers, business, bank, case, dispute, refund",21,Why was the transfer to my account reverted? | Why is my incoming transfer pending? | Locate a bank transfer sent from Revolut
10,Logging in with phone number,"passcode, device, log, revtag, email, phone, revolut, phone number, tap, id",26,Difficulty logging in | Change my phone number | Log in with a new phone number
11,Accessing plan partner subscriptions,"subscription, benefit, access, ultra customers, ultra, metal, benefits, metal ultra, plan scroll, plan",20,Chess.com | Freeletics | Headspace
12,Account security features,"security, device, mode, location, trusted, official, wealth protection, access, protection, wealth",20,Getting started with Wealth Protection | What are Revolut's safety features? | Getting started with Street Mode
13,13_pay_card_money_payment,"pay, card, money, payment, payments, contactless, reader, iphone, apple, limit",27,Using Tap to Pay on iPhone to take payments | Add money with Apple Pay or Google Pay | Can I accept payments with Revolut Pro?
14,Bank transfers to Revolut,"bank, transfer, bank transfer, external, transfers, account, external bank, money, salary, easy bank",19,How to transfer funds to Revolut | Add money with a bank transfer | Add money with an easy bank transfer
15,Kids and Teens Account Management,"kids, teens, kids teens, teens account, kid, revolut kids, account, child, teens card, app",17,Graduation to the main app | Revolut - Kids & Teens statements | Add money to or withdraw from Revolut Kids & Teens account
16,Currency exchange and transfer fees,"currency, exchange, fees, intermediary, charged, bank, transfers, transfer, currency account, language",23,What currency will I be charged in? | Tips for spending in a foreign currency | Bank transfer fees
17,Exchange Traded Products,"etps, investment, underlying, invest, exchangetraded, investments, highrisk, investor, asset, assets",16,What is a crypto ETN? | Get started with crypto ETNs | What is an Exchange-Traded Product (ETP)?
18,RevPoints earning and redemption,"revpoints, points, airline, booking, redeem, miles, gift, revolut pay, revpoints menu, pay",19,How to earn RevPoints | What is the RevPoints loyalty program? | Redeem RevPoints
19,Account move to Revolut Bank,"revolut bank, moved, account, account moved, moved revolut, bank, transition, revolut, close account, personal",16,Is my account eligible to be moved to Revolut Bank? | Can I keep my e-money account? | What do I need to do to move my account to a bank account?
20,Downgrading paid plans,"plan, downgrade, billing, paid plan, paid, mobile plan, mobile, monthly, plan tap, termshttpswwwrevolutcomlegalpaidplansgeoredirecttrue",15,Downgrading your paid plan | Changing your paid plan billing date | Paid plan downgrade fees 
21,Declined card payments and balances,"transaction, payment, declined, merchant, card, negative, balance, card payment, negative balance, dispute",19,My card payment was declined | Why was my card payment declined if I have enough funds? | Why is my balance now negative?
