title,topic_id,llm_label,probability
How can I see my cashflow analytics?,42,Financial analytics dashboard,1.0
How can I see my spending and income analytics?,42,Financial analytics dashboard,1.0
How can I see my total wealth analytics?,42,Financial analytics dashboard,1.0
How do I add a custom asset to my total wealth view?,42,Financial analytics dashboard,1.0
How to assign and adjust categories,7,Schedule and cancel transfers,0.5474
Create and manage custom categories for transactions,7,Schedule and cancel transfers,0.5001
How does sorting to investments work?,36,Trading fees and allowances,0.0
How are trips defined for travel analytics?,2,Travel insurance coverage,0.6397
How can I see my travel analytics?,42,Financial analytics dashboard,1.0
How does travel mode work?,12,Account security features,0.0
Using the Income Sorter feature,42,Financial analytics dashboard,0.0
What is the analytics dashboard?,42,Financial analytics dashboard,1.0
Why wasn’t my income sorted?,42,Financial analytics dashboard,0.0
How does Bulgaria adopting the Euro affect me?,16,Currency exchange and transfer fees,0.0
What is Open Banking and how does it work?,12,Account security features,0.4686
How will the account transition affect returns/chargebacks?,19,Account move to Revolut Bank,0.7407
Are funds in my  independent teen account FSCS protected?,26,FSCS fund protection,1.0
Can I keep my e-money account?,19,Account move to Revolut Bank,1.0
Does the account transfer impact my plan insurance cover?,2,Travel insurance coverage,1.0
How will I know when my account has been moved?,19,Account move to Revolut Bank,0.879
Is my account eligible to be moved to Revolut Bank?,19,Account move to Revolut Bank,1.0
Is the money in my Savings account protected by the FSCS?,26,FSCS fund protection,1.0
"Now that Revolut is a bank, how is my money protected?",26,FSCS fund protection,1.0
What do I need to do to move my account to a bank account?,19,Account move to Revolut Bank,1.0
What happens to my data while my account is being moved?,19,Account move to Revolut Bank,0.9537
What will happen to my account when it’s moved?,26,FSCS fund protection,0.655
What will happen to my Joint account?,19,Account move to Revolut Bank,0.7899
Who regulates Revolut Bank and where can I complain?,4,Reporting vulnerable circumstances,0.6378
Why is Revolut becoming a bank in the UK?,26,FSCS fund protection,0.4352
Will my account be at risk while it's being moved over?,19,Account move to Revolut Bank,1.0
Will my account details change after my account is moved?,19,Account move to Revolut Bank,1.0
Will my fees and charges change now that Revolut is a bank?,19,Account move to Revolut Bank,0.6289
Will Revolut Bank have physical branches?,19,Account move to Revolut Bank,0.0
Will the account transition have any tax implications?,19,Account move to Revolut Bank,0.8929
Will this affect my other Revolut products?,19,Account move to Revolut Bank,0.6961
Why didn't I get a bank account when I signed up?,26,FSCS fund protection,0.2097
Will my hardware be affected by the account transition?,19,Account move to Revolut Bank,0.7355
Will the transition affect my Pro products and services?,19,Account move to Revolut Bank,0.4919
Why is my balance now negative?,21,Declined card payments and balances,1.0
Add money in one tap,14,Bank transfers to Revolut,0.8758
Add money with a bank transfer,14,Bank transfers to Revolut,1.0
Add money with an easy bank transfer,14,Bank transfers to Revolut,1.0
Get paid early with Early Salary,14,Bank transfers to Revolut,1.0
Card deposit limits and fees,13,13_pay_card_money_payment,0.7893
How to make cash deposits,13,13_pay_card_money_payment,0.7913
Disruptions to adding money with Visa cards,13,13_pay_card_money_payment,0.7913
Receiving money to my Revolut card,14,Bank transfers to Revolut,0.6761
How to add money with a card,13,13_pay_card_money_payment,0.0
Add money with Apple Pay or Google Pay,13,13_pay_card_money_payment,0.7913
Auto top-ups,41,Physical card activation and replacement,0.0
Manage my deposit cards,41,Physical card activation and replacement,0.0
My card deposit didn't work,14,Bank transfers to Revolut,0.0
Restricted card deposits,13,13_pay_card_money_payment,0.0
Ukraine card top-up limits,13,13_pay_card_money_payment,0.0
Why was my top-up reverted?,21,Declined card payments and balances,0.897
Cards and currencies supported for adding money,8,Supported currencies and cards,0.874
Why your card top-ups may be blocked,21,Declined card payments and balances,0.739
Requesting money with a payment link,13,13_pay_card_money_payment,0.8219
How to split a bill with another Revolut customer,7,Schedule and cancel transfers,0.0
Am I covered by Ultra trip cancellation protection if I need to cancel a flight while abroad?,22,Cancel for any reason protection,1.0
Am I covered for trips or events that I didn't purchase with my Revolut account with Ultra trip and event cancellation protection?,22,Cancel for any reason protection,0.7242
Ultra trip & event cancellation with companion coverage,22,Cancel for any reason protection,0.9974
How do I get an update on my existing claim?,23,Purchase insurance coverage,0.886
Cancel for any reason complaints,23,Purchase insurance coverage,1.0
How do I make a cancel for any reason protection claim?,22,Cancel for any reason protection,0.3883
My supplier won’t let me cancel my trip/event. Am I covered with Ultra trip and event cancellation protection?,22,Cancel for any reason protection,1.0
Does moving home affect Ultra trip and event coverage?,2,Travel insurance coverage,0.6942
Will I get a full refund for my trip or event cancellation?,22,Cancel for any reason protection,0.5459
What are the limits of cover and deductibles?,22,Cancel for any reason protection,0.9974
Getting started with cancel for any reason protection,22,Cancel for any reason protection,0.7279
Documents needed for an Ultra trip and event cancellation protection claim,22,Cancel for any reason protection,0.4579
What is a trip?,22,Cancel for any reason protection,1.0
What is an event?,22,Cancel for any reason protection,0.7285
Who provides Ultra trip and event cancellation protection?,22,Cancel for any reason protection,1.0
How do I link an external account to Revolut?,14,Bank transfers to Revolut,1.0
Manage my external linked accounts in Revolut,42,Financial analytics dashboard,0.0
Can I accept multiple paid plan gifts?,43,Gifting paid plans,1.0
Gifting a paid plan,43,Gifting paid plans,1.0
How to share your birthday on Revolut,43,Gifting paid plans,0.0
Receiving paid plan gifts,43,Gifting paid plans,1.0
Sending paid plan gifts,43,Gifting paid plans,1.0
What happens once the gifted paid plan duration ends?,43,Gifting paid plans,1.0
Earning interest with Savings,37,Instant Access Savings Interest Rates,1.0
Getting started with Savings,37,Instant Access Savings Interest Rates,1.0
How to calculate interest on Savings accounts,37,Instant Access Savings Interest Rates,1.0
How is interest calculated on tiered Instant Access Savings?,37,Instant Access Savings Interest Rates,1.0
Rate decrease on my Instant Access Savings,37,Instant Access Savings Interest Rates,1.0
Why is my withdrawal pending?,9,Transfer status and processing times,1.0
Savings Challenge,37,Instant Access Savings Interest Rates,0.9279
Instant Access Savings promotion,37,Instant Access Savings Interest Rates,1.0
Tax on Savings,29,Tax and national ID requirements,0.0
How are the funds in my Savings accounts protected?,26,FSCS fund protection,0.88
Why was my Savings Accounts restricted or closed?,37,Instant Access Savings Interest Rates,0.0
Add money to your savings account,27,Pockets and Spare Change Donations,0.0
Close my Savings account,31,Joint account management,1.0
Withdraw from your Savings account,37,Instant Access Savings Interest Rates,0.0
Documents and statements for my Savings accounts,33,Download statements and documents,0.7788
Cover for cancelled and interrupted trips,22,Cancel for any reason protection,0.5564
