title,topic_id
How can I see my cashflow analytics?,42
How can I see my spending and income analytics?,42
How can I see my total wealth analytics?,42
How do I add a custom asset to my total wealth view?,42
How to assign and adjust categories,7
Create and manage custom categories for transactions,7
How does sorting to investments work?,-1
How are trips defined for travel analytics?,2
How can I see my travel analytics?,42
How does travel mode work?,-1
Using the Income Sorter feature,-1
What is the analytics dashboard?,42
Why wasn’t my income sorted?,-1
How does Bulgaria adopting the Euro affect me?,-1
What is Open Banking and how does it work?,12
How will the account transition affect returns/chargebacks?,19
Are funds in my  independent teen account FSCS protected?,26
Can I keep my e-money account?,19
Does the account transfer impact my plan insurance cover?,2
How will I know when my account has been moved?,19
Is my account eligible to be moved to Revolut Bank?,19
Is the money in my Savings account protected by the FSCS?,26
"Now that Revolut is a bank, how is my money protected?",26
What do I need to do to move my account to a bank account?,19
What happens to my data while my account is being moved?,19
What will happen to my account when it’s moved?,26
What will happen to my Joint account?,19
Who regulates Revolut Bank and where can I complain?,4
Why is Revolut becoming a bank in the UK?,26
Will my account be at risk while it's being moved over?,19
Will my account details change after my account is moved?,19
Will my fees and charges change now that Revolut is a bank?,19
Will Revolut Bank have physical branches?,-1
Will the account transition have any tax implications?,19
Will this affect my other Revolut products?,19
Why didn't I get a bank account when I signed up?,26
Will my hardware be affected by the account transition?,19
Will the transition affect my Pro products and services?,19
Why is my balance now negative?,21
Add money in one tap,14
Add money with a bank transfer,14
Add money with an easy bank transfer,14
Get paid early with Early Salary,14
Card deposit limits and fees,13
How to make cash deposits,13
Disruptions to adding money with Visa cards,13
Receiving money to my Revolut card,14
How to add money with a card,-1
Add money with Apple Pay or Google Pay,13
Auto top-ups,-1
Manage my deposit cards,-1
My card deposit didn't work,-1
Restricted card deposits,-1
Ukraine card top-up limits,-1
Why was my top-up reverted?,21
Cards and currencies supported for adding money,8
Why your card top-ups may be blocked,21
Requesting money with a payment link,13
How to split a bill with another Revolut customer,-1
Am I covered by Ultra trip cancellation protection if I need to cancel a flight while abroad?,22
Am I covered for trips or events that I didn't purchase with my Revolut account with Ultra trip and event cancellation protection?,22
Ultra trip & event cancellation with companion coverage,22
How do I get an update on my existing claim?,23
Cancel for any reason complaints,23
How do I make a cancel for any reason protection claim?,22
My supplier won’t let me cancel my trip/event. Am I covered with Ultra trip and event cancellation protection?,22
Does moving home affect Ultra trip and event coverage?,2
Will I get a full refund for my trip or event cancellation?,22
What are the limits of cover and deductibles?,22
Getting started with cancel for any reason protection,22
Documents needed for an Ultra trip and event cancellation protection claim,22
What is a trip?,22
What is an event?,22
Who provides Ultra trip and event cancellation protection?,22
How do I link an external account to Revolut?,14
Manage my external linked accounts in Revolut,-1
Can I accept multiple paid plan gifts?,43
Gifting a paid plan,43
How to share your birthday on Revolut,-1
Receiving paid plan gifts,43
Sending paid plan gifts,43
What happens once the gifted paid plan duration ends?,43
Earning interest with Savings,37
Getting started with Savings,37
How to calculate interest on Savings accounts,37
How is interest calculated on tiered Instant Access Savings?,37
Rate decrease on my Instant Access Savings,37
Why is my withdrawal pending?,9
Savings Challenge,37
Instant Access Savings promotion,37
Tax on Savings,-1
How are the funds in my Savings accounts protected?,26
Why was my Savings Accounts restricted or closed?,-1
Add money to your savings account,-1
Close my Savings account,31
Withdraw from your Savings account,-1
Documents and statements for my Savings accounts,33
Cover for cancelled and interrupted trips,22
Do I have to pay for my trip using my Revolut account?,2
Claiming after Premium travel insurance removal,2
Does moving home impact my travel insurance?,2
Travel insurance coverage,2
Travel insurance for areas affected by conflict,2
Close a Pocket,27
How do I manage a Group Pocket?,27
Adding money to Pockets,27
Withdrawing from Pockets,27
Spare change round ups,-1
I can't find my Vaults,27
How to link a card to a Pocket and manage it,27
Getting started with Pockets,27
What if I don't have enough money in my bills Pocket?,-1
What is Revolut Pay?,-1
How to withdraw cash from an ATM,-1
Fees for cash withdrawals,24
My card payment is pending,21
How to disable RevPoints spare change?,-1
Why did my payment amount change?,21
Fees for card payments in a foreign currency,24
Setting a monthly spending limit,13
How do regulatory limits affect my usage?,-1
Am I eligible for Apple Pay?,8
Am I eligible for Google Pay?,8
Payment limits when using Apple Pay or Google Pay,13
Decline reasons on Apple Pay and Google Pay,21
Setting up Apple Pay,46
Setting up Google Pay,46
Where can I pay with Apple Pay or Google Pay?,13
How do I block and unblock a merchant?,1
What currencies are supported for spending?,8
Card payment fees and limits,13
Card verification and pre-authorisation,-1
What is Dynamic Currency Conversion (DCC)?,-1
Which merchants are not supported by Revolut?,8
What is a virtual card?,38
My virtual card is not working,38
Problems with my card PIN,46
Why was my card payment declined if I have enough funds?,21
What is 3D Secure?,12
Delayed (offline) card payments,21
Where can I use my Revolut card?,8
Am I eligible for Click to Pay?,8
How do I add cards to Click to Pay?,44
How can I remove my card from Click to Pay?,44
What is Click to Pay?,44
Why is my card added to Click to Pay not shown at checkout?,44
Declined card payment isn't visible,21
My card payment was declined by the security system,-1
What is the location-based security feature?,12
My card payment was declined,21
Why has my card payment been reverted?,21
Report a card payment as a scam or fraud,1
Card security settings,-1
Freeze a card,1
How to cancel a dispute,7
Dispute a card payment,-1
Dispute process and timelines,9
Update on my chargeback case,9
Problems with a refund,9
Revolut Chrome Extension,-1
How to withdraw a foreign currency,-1
Limits for using my card abroad,24
Tips for spending in a foreign currency,16
What currency will I be charged in?,16
Manage subscription payments to merchants,1
Report a fraudulent ATM withdrawal,1
When does my ATM withdrawal limit reset?,24
Why is my ATM withdrawal pending?,9
Why was my ATM withdrawal declined?,-1
Activate a physical card,41
Reactivate a card,41
I can't add my card to Apple Pay,46
My card was stolen. What should I do?,41
The name on my card is incorrect,10
Why is my Apple Pay card number different from my Revolut's?,46
My card has been swallowed by an ATM,1
Why aren’t my contactless payments working?,-1
My single-use virtual card isn't working,38
My physical card isn't working,41
What should I do if my card is expiring soon?,41
Can I cancel or edit a card order?,28
Can I choose between Mastercard and Visa?,28
Maximum active cards,38
What are the fees for ordering a card?,28
Creating a virtual card,38
