title,topic_id,llm_label,probability
How can I see my cashflow analytics?,0,Managing account balances and transfers,0.8313
How can I see my spending and income analytics?,0,Managing account balances and transfers,0.8431
How can I see my total wealth analytics?,0,Managing account balances and transfers,0.8341
How do I add a custom asset to my total wealth view?,0,Managing account balances and transfers,0.8578
How to assign and adjust categories,0,Managing account balances and transfers,1.0
Create and manage custom categories for transactions,0,Managing account balances and transfers,1.0
How does sorting to investments work?,0,Managing account balances and transfers,0.8899
How are trips defined for travel analytics?,1,Travel insurance trip coverage,0.9359
How can I see my travel analytics?,0,Managing account balances and transfers,0.8134
How does travel mode work?,0,Managing account balances and transfers,0.8887
Using the Income Sorter feature,0,Managing account balances and transfers,1.0
What is the analytics dashboard?,0,Managing account balances and transfers,0.825
Why wasn’t my income sorted?,0,Managing account balances and transfers,1.0
How does Bulgaria adopting the Euro affect me?,0,Managing account balances and transfers,1.0
What is Open Banking and how does it work?,0,Managing account balances and transfers,1.0
How will the account transition affect returns/chargebacks?,0,Managing account balances and transfers,1.0
Are funds in my  independent teen account FSCS protected?,0,Managing account balances and transfers,0.8448
Can I keep my e-money account?,0,Managing account balances and transfers,1.0
Does the account transfer impact my plan insurance cover?,1,Travel insurance trip coverage,1.0
How will I know when my account has been moved?,0,Managing account balances and transfers,1.0
Is my account eligible to be moved to Revolut Bank?,0,Managing account balances and transfers,1.0
Is the money in my Savings account protected by the FSCS?,0,Managing account balances and transfers,0.848
"Now that Revolut is a bank, how is my money protected?",0,Managing account balances and transfers,0.8741
What do I need to do to move my account to a bank account?,0,Managing account balances and transfers,1.0
What happens to my data while my account is being moved?,0,Managing account balances and transfers,1.0
What will happen to my account when it’s moved?,0,Managing account balances and transfers,0.8567
What will happen to my Joint account?,0,Managing account balances and transfers,1.0
Who regulates Revolut Bank and where can I complain?,0,Managing account balances and transfers,0.9673
Why is Revolut becoming a bank in the UK?,0,Managing account balances and transfers,0.7586
Will my account be at risk while it's being moved over?,0,Managing account balances and transfers,1.0
Will my account details change after my account is moved?,0,Managing account balances and transfers,1.0
Will my fees and charges change now that Revolut is a bank?,0,Managing account balances and transfers,1.0
Will Revolut Bank have physical branches?,0,Managing account balances and transfers,1.0
Will the account transition have any tax implications?,0,Managing account balances and transfers,1.0
Will this affect my other Revolut products?,0,Managing account balances and transfers,1.0
Why didn't I get a bank account when I signed up?,0,Managing account balances and transfers,0.891
Will my hardware be affected by the account transition?,0,Managing account balances and transfers,1.0
Will the transition affect my Pro products and services?,0,Managing account balances and transfers,1.0
Why is my balance now negative?,0,Managing account balances and transfers,1.0
Add money in one tap,0,Managing account balances and transfers,1.0
Add money with a bank transfer,0,Managing account balances and transfers,1.0
Add money with an easy bank transfer,0,Managing account balances and transfers,1.0
Get paid early with Early Salary,0,Managing account balances and transfers,1.0
Card deposit limits and fees,0,Managing account balances and transfers,1.0
How to make cash deposits,0,Managing account balances and transfers,1.0
Disruptions to adding money with Visa cards,0,Managing account balances and transfers,1.0
Receiving money to my Revolut card,0,Managing account balances and transfers,1.0
How to add money with a card,0,Managing account balances and transfers,1.0
Add money with Apple Pay or Google Pay,0,Managing account balances and transfers,1.0
Auto top-ups,0,Managing account balances and transfers,1.0
Manage my deposit cards,0,Managing account balances and transfers,1.0
My card deposit didn't work,0,Managing account balances and transfers,1.0
Restricted card deposits,0,Managing account balances and transfers,1.0
Ukraine card top-up limits,0,Managing account balances and transfers,1.0
Why was my top-up reverted?,0,Managing account balances and transfers,1.0
Cards and currencies supported for adding money,0,Managing account balances and transfers,1.0
Why your card top-ups may be blocked,0,Managing account balances and transfers,1.0
Requesting money with a payment link,0,Managing account balances and transfers,1.0
How to split a bill with another Revolut customer,0,Managing account balances and transfers,1.0
Am I covered by Ultra trip cancellation protection if I need to cancel a flight while abroad?,1,Travel insurance trip coverage,0.6475
Am I covered for trips or events that I didn't purchase with my Revolut account with Ultra trip and event cancellation protection?,1,Travel insurance trip coverage,0.5825
Ultra trip & event cancellation with companion coverage,1,Travel insurance trip coverage,0.7061
How do I get an update on my existing claim?,1,Travel insurance trip coverage,0.9747
Cancel for any reason complaints,1,Travel insurance trip coverage,0.9782
How do I make a cancel for any reason protection claim?,1,Travel insurance trip coverage,1.0
My supplier won’t let me cancel my trip/event. Am I covered with Ultra trip and event cancellation protection?,1,Travel insurance trip coverage,0.7197
Does moving home affect Ultra trip and event coverage?,1,Travel insurance trip coverage,0.944
Will I get a full refund for my trip or event cancellation?,1,Travel insurance trip coverage,0.9668
What are the limits of cover and deductibles?,1,Travel insurance trip coverage,0.7605
Getting started with cancel for any reason protection,1,Travel insurance trip coverage,0.8375
