title,topic_1,label_1,topic_2,label_2,p1,p2,margin
Why has my card payment been reverted?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.501,0.499,0.002
Which Revolut companies provide me with services?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.445,0.44,0.005
Promotional cashback,0,Managing account balances and transfers,2,Accessing plan benefits,0.46,0.451,0.009
Crypto basics,0,Managing account balances and transfers,2,Accessing plan benefits,0.508,0.492,0.017
Operating system and security updates,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.514,0.486,0.028
Can I accept multiple paid plan gifts?,0,Managing account balances and transfers,2,Accessing plan benefits,0.516,0.484,0.032
How do I use my airport lounge pass?,0,Managing account balances and transfers,2,Accessing plan benefits,0.438,0.403,0.035
Currency exchange fees and limits,0,Managing account balances and transfers,2,Accessing plan benefits,0.482,0.444,0.038
How does travel mode work?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.385,0.346,0.039
Plus plan,0,Managing account balances and transfers,2,Accessing plan benefits,0.391,0.351,0.04
What are partner benefits?,2,Accessing plan benefits,0,Managing account balances and transfers,0.521,0.479,0.042
Referral reward smaller than expected,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.526,0.474,0.052
Stock delisting,0,Managing account balances and transfers,2,Accessing plan benefits,0.527,0.473,0.054
Ultra plan,2,Accessing plan benefits,1,Travel insurance trip coverage,0.385,0.327,0.058
Fees for card payments in a foreign currency,0,Managing account balances and transfers,2,Accessing plan benefits,0.502,0.443,0.059
How are my investments with Revolut protected?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.531,0.469,0.061
What happens once the gifted paid plan duration ends?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.389,0.326,0.063
Premium plan,2,Accessing plan benefits,0,Managing account balances and transfers,0.421,0.355,0.066
Setting up voicemail,0,Managing account balances and transfers,2,Accessing plan benefits,0.535,0.465,0.071
American depositary receipts (ADRs) and pass-through fees,2,Accessing plan benefits,0,Managing account balances and transfers,0.428,0.35,0.079
Manage subscription payments to merchants,2,Accessing plan benefits,0,Managing account balances and transfers,0.538,0.454,0.084
Revolut — Kids & Teens subscription bundles,2,Accessing plan benefits,0,Managing account balances and transfers,0.535,0.441,0.094
