title,topic_1,label_1,topic_2,label_2,p1,p2,margin
I'm unable to send money to another Revolut customer,11,Transfer status and delays,3,Identity and account verification,0.172,0.171,0.001
What is Revolut Pro and is it free?,6,Currency exchange and withdrawal fees,1,Card payment troubleshooting,0.244,0.243,0.001
Order a paid plan card,22,Ordering new cards,15,Downgrading paid plans,0.316,0.315,0.002
Setting up voicemail,5,Reporting phone and payment scams,3,Identity and account verification,0.501,0.499,0.003
Do I own my stocks?,2,Trading order types,20,Tax and national identification,0.352,0.348,0.004
Insufficient funds for scheduled transfer,17,Managing scheduled transfers,11,Transfer status and delays,0.266,0.259,0.007
Getting started with AIR,18,Reporting vulnerable circumstances,5,Reporting phone and payment scams,0.261,0.254,0.007
Getting started with Joint Savings,4,Joint account closure,19,FSCS protection for Revolut accounts,0.301,0.294,0.008
What are Wealth Protection limits?,26,Managing Revolut Pockets,6,Currency exchange and withdrawal fees,0.12,0.113,0.008
Finding the card PIN,1,Card payment troubleshooting,22,Ordering new cards,0.362,0.353,0.009
Which merchants are not supported by Revolut?,1,Card payment troubleshooting,6,Currency exchange and withdrawal fees,0.27,0.261,0.009
What are the fees for Revolut Ramp?,16,Revolut crypto trading and setup,6,Currency exchange and withdrawal fees,0.477,0.467,0.009
How to withdraw funds from my investment account,4,Joint account closure,2,Trading order types,0.243,0.233,0.01
Why is my ATM withdrawal pending?,11,Transfer status and delays,9,Crypto deposit troubleshooting,0.136,0.126,0.01
Why didn't I get a bank account when I signed up?,21,External bank account transfers,19,FSCS protection for Revolut accounts,0.411,0.401,0.01
My account was restricted or closed,4,Joint account closure,3,Identity and account verification,0.302,0.292,0.01
Activate a physical card,22,Ordering new cards,1,Card payment troubleshooting,0.31,0.297,0.013
Change my Revtag,4,Joint account closure,3,Identity and account verification,0.356,0.342,0.013
Why are you asking me for documents to open or continue using Revolut trading?,3,Identity and account verification,25,Download account statements,0.432,0.42,0.013
I received a card that I had marked as undelivered,1,Card payment troubleshooting,22,Ordering new cards,0.444,0.43,0.014
"My friend ordered a card, but I didn’t get the reward. Why?",22,Ordering new cards,7,Referral purchase step requirements,0.305,0.289,0.016
Mobile plan access and payment,23,eSIM data plan management,15,Downgrading paid plans,0.307,0.291,0.016
Authorised Push Payment fraud reimbursement exclusions,4,Joint account closure,18,Reporting vulnerable circumstances,0.147,0.131,0.016
Will my fees and charges change now that Revolut is a bank?,4,Joint account closure,6,Currency exchange and withdrawal fees,0.306,0.288,0.018
Revolut Pro invoices,10,Managing Kids and Teens accounts,1,Card payment troubleshooting,0.183,0.165,0.018
Will Revolut Bank have physical branches?,19,FSCS protection for Revolut accounts,21,External bank account transfers,0.283,0.264,0.019
Setting up a virtual crypto card,1,Card payment troubleshooting,16,Revolut crypto trading and setup,0.221,0.202,0.019
How can I see my cashflow analytics?,10,Managing Kids and Teens accounts,22,Ordering new cards,0.151,0.13,0.021
Freeze a card,22,Ordering new cards,1,Card payment troubleshooting,0.272,0.251,0.021
How does the Clear Sky debit card support Ukraine?,8,Supported currencies and cards,22,Ordering new cards,0.182,0.159,0.022
What account details should I use for incoming transfers?,21,External bank account transfers,24,Currency accounts and exchange fees,0.255,0.234,0.022
Koinly crypto tax reports,16,Revolut crypto trading and setup,18,Reporting vulnerable circumstances,0.239,0.216,0.023
How do I move money out of my Revolut Pro account?,21,External bank account transfers,4,Joint account closure,0.327,0.303,0.024
How do I log in to my Revolut Terminal?,3,Identity and account verification,1,Card payment troubleshooting,0.3,0.276,0.024
Withdraw from your Savings account,19,FSCS protection for Revolut accounts,26,Managing Revolut Pockets,0.178,0.154,0.024
Cancelling your old phone plan,4,Joint account closure,15,Downgrading paid plans,0.366,0.341,0.024
What are passkeys?,27,Account security and fraud protection,3,Identity and account verification,0.224,0.199,0.025
Accessing your transaction history from your Revolut account,3,Identity and account verification,25,Download account statements,0.361,0.335,0.025
Commodities supported features,26,Managing Revolut Pockets,2,Trading order types,0.339,0.315,0.025
Install the Shopify plugin for Revolut Pro,4,Joint account closure,3,Identity and account verification,0.297,0.27,0.027
Duplicate account,4,Joint account closure,3,Identity and account verification,0.312,0.286,0.027
Strange small charges on your card?,5,Reporting phone and payment scams,1,Card payment troubleshooting,0.269,0.241,0.028
Why are my statement balance and in-app balance different?,24,Currency accounts and exchange fees,4,Joint account closure,0.144,0.116,0.028
Adding money to a Joint account,4,Joint account closure,21,External bank account transfers,0.258,0.23,0.028
Revtags,3,Identity and account verification,13,Accessing Revolut plan benefits,0.311,0.281,0.03
Buy bonds in the Revolut app,2,Trading order types,16,Revolut crypto trading and setup,0.176,0.146,0.03
Managing mobile plans and add-ons,23,eSIM data plan management,15,Downgrading paid plans,0.431,0.402,0.03
