title,topic_id
How can I see my cashflow analytics?,0
How can I see my spending and income analytics?,0
How can I see my total wealth analytics?,0
How do I add a custom asset to my total wealth view?,0
How to assign and adjust categories,0
Create and manage custom categories for transactions,0
How does sorting to investments work?,0
How are trips defined for travel analytics?,1
How can I see my travel analytics?,0
How does travel mode work?,0
Using the Income Sorter feature,0
What is the analytics dashboard?,0
Why wasn’t my income sorted?,0
How does Bulgaria adopting the Euro affect me?,0
What is Open Banking and how does it work?,0
How will the account transition affect returns/chargebacks?,0
Are funds in my  independent teen account FSCS protected?,0
Can I keep my e-money account?,0
Does the account transfer impact my plan insurance cover?,1
How will I know when my account has been moved?,0
Is my account eligible to be moved to Revolut Bank?,0
Is the money in my Savings account protected by the FSCS?,0
"Now that Revolut is a bank, how is my money protected?",0
What do I need to do to move my account to a bank account?,0
What happens to my data while my account is being moved?,0
What will happen to my account when it’s moved?,0
What will happen to my Joint account?,0
Who regulates Revolut Bank and where can I complain?,0
Why is Revolut becoming a bank in the UK?,0
Will my account be at risk while it's being moved over?,0
Will my account details change after my account is moved?,0
Will my fees and charges change now that Revolut is a bank?,0
Will Revolut Bank have physical branches?,0
Will the account transition have any tax implications?,0
Will this affect my other Revolut products?,0
Why didn't I get a bank account when I signed up?,0
Will my hardware be affected by the account transition?,0
Will the transition affect my Pro products and services?,0
Why is my balance now negative?,0
Add money in one tap,0
Add money with a bank transfer,0
Add money with an easy bank transfer,0
Get paid early with Early Salary,0
Card deposit limits and fees,0
How to make cash deposits,0
Disruptions to adding money with Visa cards,0
Receiving money to my Revolut card,0
How to add money with a card,0
Add money with Apple Pay or Google Pay,0
Auto top-ups,0
Manage my deposit cards,0
My card deposit didn't work,0
Restricted card deposits,0
Ukraine card top-up limits,0
Why was my top-up reverted?,0
Cards and currencies supported for adding money,0
Why your card top-ups may be blocked,0
Requesting money with a payment link,0
How to split a bill with another Revolut customer,0
Am I covered by Ultra trip cancellation protection if I need to cancel a flight while abroad?,1
Am I covered for trips or events that I didn't purchase with my Revolut account with Ultra trip and event cancellation protection?,1
Ultra trip & event cancellation with companion coverage,1
How do I get an update on my existing claim?,1
Cancel for any reason complaints,1
How do I make a cancel for any reason protection claim?,1
My supplier won’t let me cancel my trip/event. Am I covered with Ultra trip and event cancellation protection?,1
Does moving home affect Ultra trip and event coverage?,1
Will I get a full refund for my trip or event cancellation?,1
What are the limits of cover and deductibles?,1
Getting started with cancel for any reason protection,1
Documents needed for an Ultra trip and event cancellation protection claim,1
What is a trip?,1
What is an event?,1
Who provides Ultra trip and event cancellation protection?,1
How do I link an external account to Revolut?,0
Manage my external linked accounts in Revolut,0
Can I accept multiple paid plan gifts?,0
Gifting a paid plan,0
How to share your birthday on Revolut,0
Receiving paid plan gifts,0
Sending paid plan gifts,0
What happens once the gifted paid plan duration ends?,0
Earning interest with Savings,0
Getting started with Savings,0
How to calculate interest on Savings accounts,0
How is interest calculated on tiered Instant Access Savings?,0
Rate decrease on my Instant Access Savings,0
Why is my withdrawal pending?,0
Savings Challenge,0
Instant Access Savings promotion,0
Tax on Savings,0
How are the funds in my Savings accounts protected?,0
Why was my Savings Accounts restricted or closed?,0
Add money to your savings account,0
Close my Savings account,0
Withdraw from your Savings account,0
Documents and statements for my Savings accounts,0
Cover for cancelled and interrupted trips,1
Do I have to pay for my trip using my Revolut account?,1
Claiming after Premium travel insurance removal,1
Does moving home impact my travel insurance?,1
Travel insurance coverage,1
Travel insurance for areas affected by conflict,1
Close a Pocket,0
How do I manage a Group Pocket?,0
Adding money to Pockets,0
Withdrawing from Pockets,0
Spare change round ups,0
I can't find my Vaults,0
How to link a card to a Pocket and manage it,0
Getting started with Pockets,0
What if I don't have enough money in my bills Pocket?,0
What is Revolut Pay?,0
How to withdraw cash from an ATM,0
Fees for cash withdrawals,0
My card payment is pending,0
How to disable RevPoints spare change?,0
Why did my payment amount change?,0
Fees for card payments in a foreign currency,0
Setting a monthly spending limit,0
How do regulatory limits affect my usage?,0
Am I eligible for Apple Pay?,0
Am I eligible for Google Pay?,0
Payment limits when using Apple Pay or Google Pay,0
Decline reasons on Apple Pay and Google Pay,0
Setting up Apple Pay,0
Setting up Google Pay,0
Where can I pay with Apple Pay or Google Pay?,0
How do I block and unblock a merchant?,0
What currencies are supported for spending?,0
Card payment fees and limits,0
Card verification and pre-authorisation,0
What is Dynamic Currency Conversion (DCC)?,0
Which merchants are not supported by Revolut?,0
What is a virtual card?,0
My virtual card is not working,0
Problems with my card PIN,0
Why was my card payment declined if I have enough funds?,0
What is 3D Secure?,0
Delayed (offline) card payments,0
Where can I use my Revolut card?,0
Am I eligible for Click to Pay?,0
How do I add cards to Click to Pay?,0
How can I remove my card from Click to Pay?,0
What is Click to Pay?,0
Why is my card added to Click to Pay not shown at checkout?,0
Declined card payment isn't visible,0
My card payment was declined by the security system,0
What is the location-based security feature?,0
My card payment was declined,0
Why has my card payment been reverted?,0
Report a card payment as a scam or fraud,0
Card security settings,0
Freeze a card,0
How to cancel a dispute,0
Dispute a card payment,0
Dispute process and timelines,0
Update on my chargeback case,0
Problems with a refund,0
Revolut Chrome Extension,0
How to withdraw a foreign currency,0
Limits for using my card abroad,0
Tips for spending in a foreign currency,0
What currency will I be charged in?,0
Manage subscription payments to merchants,0
Report a fraudulent ATM withdrawal,0
When does my ATM withdrawal limit reset?,0
Why is my ATM withdrawal pending?,0
Why was my ATM withdrawal declined?,0
Activate a physical card,0
Reactivate a card,0
I can't add my card to Apple Pay,0
My card was stolen. What should I do?,0
The name on my card is incorrect,0
Why is my Apple Pay card number different from my Revolut's?,0
My card has been swallowed by an ATM,0
Why aren’t my contactless payments working?,0
My single-use virtual card isn't working,0
My physical card isn't working,0
What should I do if my card is expiring soon?,0
Can I cancel or edit a card order?,0
Can I choose between Mastercard and Visa?,0
Maximum active cards,0
What are the fees for ordering a card?,0
Creating a virtual card,0
I ordered a card and it didn't arrive,0
Card customisation,0
How does the Clear Sky debit card support Ukraine?,0
Order a physical card,0
How do I get the Clear Sky debit card?,0
What is a special edition card?,0
What card brands and types can I get?,0
Finding the card PIN,0
Linking an existing card,0
Can I order my card to a different address?,0
How do I use a Revolut virtual card?,0
I received a card that I had marked as undelivered,0
I found my lost card,0
My card has been used fraudulently,0
Glossary of onboarding terms,0
Manage scheduled transfers,0
More help with a scheduled transfer,0
Schedule a transfer,0
Cash withdrawal limits and fees,0
Getting started with Pet Insurance,1
How do I make a protection insurance claim?,1
What's the excess for purchase insurance claims?,1
Submitting documents for a purchase insurance claim,1
Is my mobile device covered by Revolut purchase protection?,1
Getting started with purchase insurance,1
What's not covered under purchase insurance?,1
What items are eligible for purchase insurance?,1
Getting an update on an everyday protection claim,1
Who provides Revolut's everyday protection insurance?,1
