title,topic_id,llm_label,probability
How can I see my cashflow analytics?,43,Financial analytics dashboard,0.9134
How can I see my spending and income analytics?,43,Financial analytics dashboard,1.0
How can I see my total wealth analytics?,43,Financial analytics dashboard,1.0
How do I add a custom asset to my total wealth view?,43,Financial analytics dashboard,0.8669
How to assign and adjust categories,46,Scheduled transfers and custom categories,0.9264
Create and manage custom categories for transactions,46,Scheduled transfers and custom categories,0.7422
How does sorting to investments work?,64,Income Sorter,1.0
How are trips defined for travel analytics?,1,Revolut travel insurance coverage,0.9586
How can I see my travel analytics?,43,Financial analytics dashboard,0.744
How does travel mode work?,1,Revolut travel insurance coverage,0.0
Using the Income Sorter feature,64,Income Sorter,0.9997
What is the analytics dashboard?,43,Financial analytics dashboard,1.0
Why wasn’t my income sorted?,64,Income Sorter,1.0
How does Bulgaria adopting the Euro affect me?,39,Instant Access Savings Interest Rates,0.0
What is Open Banking and how does it work?,65,Account security and fraud protection,0.8769
How will the account transition affect returns/chargebacks?,53,Account transition impact,1.0
Are funds in my  independent teen account FSCS protected?,20,FSCS protection for accounts,1.0
Can I keep my e-money account?,28,Moving accounts to Revolut Bank,0.7499
Does the account transfer impact my plan insurance cover?,1,Revolut travel insurance coverage,1.0
How will I know when my account has been moved?,28,Moving accounts to Revolut Bank,0.5437
Is my account eligible to be moved to Revolut Bank?,28,Moving accounts to Revolut Bank,0.6411
Is the money in my Savings account protected by the FSCS?,20,FSCS protection for accounts,1.0
"Now that Revolut is a bank, how is my money protected?",20,FSCS protection for accounts,1.0
What do I need to do to move my account to a bank account?,28,Moving accounts to Revolut Bank,1.0
What happens to my data while my account is being moved?,28,Moving accounts to Revolut Bank,0.7807
What will happen to my account when it’s moved?,20,FSCS protection for accounts,0.5363
What will happen to my Joint account?,28,Moving accounts to Revolut Bank,0.5698
Who regulates Revolut Bank and where can I complain?,54,Revolut service providers and regulation,1.0
Why is Revolut becoming a bank in the UK?,20,FSCS protection for accounts,0.3167
Will my account be at risk while it's being moved over?,28,Moving accounts to Revolut Bank,1.0
Will my account details change after my account is moved?,28,Moving accounts to Revolut Bank,1.0
Will my fees and charges change now that Revolut is a bank?,53,Account transition impact,1.0
Will Revolut Bank have physical branches?,53,Account transition impact,0.0
Will the account transition have any tax implications?,28,Moving accounts to Revolut Bank,0.5778
Will this affect my other Revolut products?,53,Account transition impact,1.0
Why didn't I get a bank account when I signed up?,20,FSCS protection for accounts,0.1478
Will my hardware be affected by the account transition?,53,Account transition impact,1.0
Will the transition affect my Pro products and services?,53,Account transition impact,0.8128
Why is my balance now negative?,38,Pending and delayed card payments,1.0
Add money in one tap,7,Adding money via bank transfer,0.9363
Add money with a bank transfer,7,Adding money via bank transfer,1.0
Add money with an easy bank transfer,7,Adding money via bank transfer,1.0
Get paid early with Early Salary,7,Adding money via bank transfer,0.7721
Card deposit limits and fees,66,Card top-up restrictions,1.0
How to make cash deposits,60,60_deposit_card_pay_topup,1.0
Disruptions to adding money with Visa cards,66,Card top-up restrictions,0.9805
Receiving money to my Revolut card,7,Adding money via bank transfer,0.5021
How to add money with a card,60,60_deposit_card_pay_topup,1.0
Add money with Apple Pay or Google Pay,60,60_deposit_card_pay_topup,1.0
Auto top-ups,60,60_deposit_card_pay_topup,0.6392
Manage my deposit cards,60,60_deposit_card_pay_topup,1.0
My card deposit didn't work,60,60_deposit_card_pay_topup,0.0
Restricted card deposits,66,Card top-up restrictions,1.0
Ukraine card top-up limits,66,Card top-up restrictions,1.0
Why was my top-up reverted?,38,Pending and delayed card payments,0.5803
Cards and currencies supported for adding money,4,Supported currencies and cards,1.0
Why your card top-ups may be blocked,7,Adding money via bank transfer,0.0
Requesting money with a payment link,12,Accepting payments with Revolut,1.0
How to split a bill with another Revolut customer,12,Accepting payments with Revolut,0.0
Am I covered by Ultra trip cancellation protection if I need to cancel a flight while abroad?,14,Cancel for any reason protection,1.0
Am I covered for trips or events that I didn't purchase with my Revolut account with Ultra trip and event cancellation protection?,14,Cancel for any reason protection,0.5484
Ultra trip & event cancellation with companion coverage,14,Cancel for any reason protection,1.0
How do I get an update on my existing claim?,15,Purchase insurance coverage,0.915
