topic_id,llm_label,keywords,size,representative_titles
0,Trading order types,"order, price, orders, stop, trading, market, buy, sell, limit, hours",40,Crypto stop order | Can I set target prices for exchanging cryptocurrency? | Trading order types
1,Revolut travel insurance coverage,"travel, insurance, travel insurance, chubb, trip, cover, claim, covered, revolut travel, coverage",24,Who is covered by travel insurance? | Cover for delayed trips | Trips covered by travel insurance
2,Referral purchase requirements,"purchases, reward, referrals, campaign, invitee, step, deadline, make, referral, friend",20,"What are the requirements for 3 purchases? | My friend made 3 purchases, but I didn’t get the reward | Is a physical card required for your friend's purchases?"
3,Crypto account setup and security,"crypto, tokens, staking, cryptocurrencies, ramp, cryptocurrency, fiat, revolut, token, web terminal",23,Crypto account onboarding requirements | Is my crypto safe with Revolut? | Revolut crypto features and products
4,Supported currencies and cards,"supported, currencies, countries, republic, currently, unsupported, cards, malta, lithuania, following",20,Supported currencies for outgoing transfers | Cards and currencies supported for adding money | What currencies are supported for spending?
5,Lost phone number login,"passcode, device, log, phone, phone number, email, lost, id, number, revolut",25,Difficulty logging in | Change my phone number | Log in with a new phone number
6,Accessing plan partner subscriptions,"subscription, benefit, ultra customers, access, ultra, metal, metal ultra, benefits, plan scroll, select plan",19,Chess.com | Freeletics | Headspace
7,Adding money via bank transfer,"bank, transfer, bank transfer, transfers, money, external, account, easy bank, salary, easy",22,How to transfer funds to Revolut | Add money with a bank transfer | Add money with an easy bank transfer
8,Crypto deposit troubleshooting,"crypto, network, address, deposit, blockchain, networks, transaction, wallet, addresses, deposits",18,Pending crypto deposits | Can't see my deposit in-app | Receive (deposit) crypto from an external address
9,RevPoints earning and redemption,"revpoints, points, airline, booking, redeem, miles, revolut pay, gift, revpoints menu, gift cards",19,How to earn RevPoints | What is the RevPoints loyalty program? | Redeem RevPoints
10,Kids and teens account management,"kids, teens, kids teens, teens account, kid, revolut kids, child, teens card, select kids, account",16,Revolut – Kids & Teens card management | Revolut - Kids & Teens statements | Add money to or withdraw from Revolut Kids & Teens account
11,Exchange Traded Products,"etps, investment, underlying, invest, exchangetraded, highrisk, investments, investor, asset, assets",16,What is a crypto ETN? | Get started with crypto ETNs | What is an Exchange-Traded Product (ETP)?
12,Accepting payments with Revolut,"reader, payment, iphone, payments, tap pay, pay, pay iphone, accept, payment link, revolut reader",20,Can I accept payments with Revolut Pro? | Requesting money with a payment link | Sending and requesting money with a payment link
13,Ordering a physical card,"delivery, card, physical, physical card, order, cards, card order, design, ordering, order card",17,Order a Joint account card | How can my friend order a physical card? | Order a physical card
14,Cancel for any reason protection,"event, trip, reason, cancellation, trip event, claim, cancel reason, cancel, ultra, cancellation protection",14,How do I make a cancel for any reason protection claim? | Getting started with cancel for any reason protection | What is a trip?
15,Purchase insurance coverage,"qover, purchase, insurance, purchase insurance, claim, items, protection, search, insurance select, item",13,Refund protection coverage | What's the excess for purchase insurance claims? | Purchase protection coverage
16,Download account statements,"statement, statements, documents, download, documents statements, confirmation, document, consolidated, select documents, generated",14,Download an account statement for a specific currency | Download transaction or top-up statement | Download a cryptocurrency statement
17,Tax and national identification,"tax, national, identification, national id, identification number, id, country, number, provide, information",13,Investor related tax information | Update my tax information | Why does Revolut need my national identifier?
18,18_limits_withdrawal_atm_fees,"limits, withdrawal, atm, fees, fee, limit, charged, exchange, withdrawals, currency",16,Fees for cash withdrawals | Currency exchange fees and limits | Cash withdrawal limits and fees
19,Transfer status and tracking,"transfer, recipient, transfers, reverted, bank, business days, pending, business, funds, days",16,Why was the transfer to my account reverted? | Why is my incoming transfer pending? | Locate a bank transfer sent from Revolut
20,FSCS protection for accounts,"fscs, protected, compensation, savings, bank, scheme, scheme fscs, compensation scheme, money, 120000",12,"Are funds in my  independent teen account FSCS protected? | How are the funds in my Savings accounts protected? | Now that Revolut is a bank, how is my money protected?"
21,Identity and address verification,"document, documents, identity, proof, accepted, upload, verification, selfie, photo, address",11,I'm unable to verify my identity | Verify my identity | How do I provide proof of address?
22,Joint account management,"joint, joint account, account, close, investment account, closure, close account, accounts, open, investment",15,Joint account card payments | Setting up a Joint account | I want to close my Joint account
23,Canceling transfers and payment links,"transfer, recipient, beneficiary, cancel, payment link, recipients, sent, trusted, cancel transfer, recall",10,My transfer to another Revolut customer is pending | More help with sending money via a payment link | I want to cancel a bank transfer
24,Recognizing scam red flags,"scammers, phone, criminal, red, legitimate, red flags, real, flags, message, immediately",12,Someone wants to give you a lot of money? | Feeling pressured or threatened? | Urgent text from a kid or friend?
25,Pet insurance policy management,"pet, pet insurance, policy, insurance, insurance policy, american, renewal, video, cover, greek",10,Pet Insurance payments and renewals | How do I cancel my Pet Insurance policy? | How can I view or manage my Revolut Pet Insurance policy?
26,eSIM data plan management,"esim, data, plan, mobile, esim data, plans, sim, device, mobile plans, network",11,Revolut data plans | Installing and activating my eSIM | Managing my eSIM data plan
27,Group Pockets,"pocket, group, pockets, group pocket, choose, choose pocket, money, admin, pocket tap, tap",11,Close a Pocket | What are Pro Pockets? | How do I manage a Group Pocket?
28,Moving accounts to Revolut Bank,"moved, account moved, revolut bank, moved revolut, account, bank, close account, emoney, personal, personal account",9,Is my account eligible to be moved to Revolut Bank? | What do I need to do to move my account to a bank account? | Will my account details change after my account is moved?
29,Reporting vulnerable circumstances,"gambling, circumstances, vulnerable, support, form, health, advice, groups, financial, feel",9,Reporting vulnerable circumstances to Revolut | How can I share sensitive information with Revolut? | Reporting vulnerable circumstances to Revolut
30,Device software and security updates,"device, official, security, manufacturer, devices, operating, updates, software, depending device, update",9,Unofficial (custom) firmware | Operating system and security updates | Locked bootloader requirement for Android devices
31,Stock investing fundamentals,"stock, shares, company, share, fractional, analysis, corporate, companys, ratio, corporate actions",9,Financial ratios for company analysis | Stock basics | Stock split
32,Trading fees and allowances,"trading pro, commissionfree, trading, allowance, fees, trades, fee, pro, commission, trial",8,What is Trading Pro? | What are Revolut's trading fees? | What are the Stocks and Shares ISA fees?
33,Apple Pay and Card Security,"pin, apple, apple pay, card, security, contactless, pay, digits, settings, contactless payments",8,Why is my Apple Pay card number different from my Revolut's? | Card security settings | I can't add my card to Apple Pay
34,Mobile number transfers,"number, number transfer, transfer, provider, transfer number, switch, old, mobile plan, mobile, plan",9,Bring your number to Revolut mobile | Understanding mobile plan numbers | Transfer your Revolut number to another provider
35,Managing Click to Pay cards,"click pay, click, wallets, linked, pay, email mobile, card, wallet, cards, mobile number",7,What is Click to Pay? | How can I remove my card from Click to Pay? | How do I add cards to Click to Pay?
36,Airport lounge and fast track,"pass, lounge, airport, passes, fast, fast track, airport lounge, track, lounges, lounge passes",7,How do I use my airport fast track pass? | How do I purchase an airport lounge pass? | How do I use my airport lounge pass?
37,Plan billing and payments,"plan, billing, mobile plan, paid plan, mobile, plan payment, secondary, secondary number, paid, revpoints",8,Managing your paid plan billing | Next payment date for your paid plan | Paying for my mobile plan
38,Pending and delayed card payments,"negative, transaction, payment, negative balance, balance, merchant, pending, delayed, reverted, card payment",8,My card payment is pending | Delayed (offline) card payments | Why is my balance now negative?
39,Instant Access Savings Interest Rates,"savings, rate, access savings, instant access, instant, savings account, prize, challenge, 2025, aer",10,Earning interest with Savings | Instant Access Savings promotion | Rate decrease on my Instant Access Savings
40,Gifting paid plans to friends,"gift, paid plan, plan, paid, gifts, friend, premium plan, premium, annual, accept",7,Sending paid plan gifts | Can I accept multiple paid plan gifts? | Receiving paid plan gifts
41,Virtual card usage and limits,"virtual, virtual card, card, singleuse, cards, virtual cards, singleuse virtual, card details, card number, pay",8,My virtual card is not working | What is a virtual card? | How do I use a Revolut virtual card?
42,Currency accounts and exchange rates,"currency, exchange, language, rates, currency account, currency exchange, exchange rates, currencies, fees, charged",9,Switching languages in the app | Open and manage additional currency accounts | What currency will I be charged in?
43,Financial analytics dashboard,"analytics, spending, air, custom, income, widget, insights, asset, total wealth, total",8,How can I see my total wealth analytics? | What is the analytics dashboard? | How can I see my spending and income analytics?
44,Replace reactivate or fix cards,"card, contactless, cards, replace, reactivate, replacement, replace card, physical, isnt working, select card",8,My card was stolen. What should I do? | Reactivate a card | My physical card isn't working
45,Contacting support and complaints,"chat, support, complaint, attorney, voice, advice, inapp chat, contact, team, resolution",7,How can I file a complaint? | Mobile plan voice support | How to contact Revolut Support
46,Scheduled transfers and custom categories,"direct, scheduled, direct debit, category, debit, scheduled transfer, transfer, direct debits, debits, scheduled payments",12,Create and manage custom categories for transactions | Schedule a transfer | Manage scheduled transfers
47,Crypto trading fee tiers,"tier, pricing, volume, fee, tiered, fees, trade, trading, usage, commodities",6,Fees for trading crypto | Tier progression and account changes | Trading with crypto tiered pricing
48,Revolut Pro account features,"pro, business, pro account, cashback, revolut pro, url, tools, shopify, revolut business, sales",13,How does Revolut Pro cashback work and how can I boost it? | What features are available with Revolut Pro? | What is Revolut Pro and is it free?
49,Stocks and Shares ISA rules,"isa, stocks shares, shares isa, stocks, shares, dividends, allowance, tax, invest, isa provider",6,Stocks and Shares ISA rules | Stocks and Shares ISA transfers | Stocks and Shares Individual Savings Account (ISA)
50,Crypto card payments and Ramp,"ramp, crypto, revolut ramp, wallet, crypto card, transactions, transaction, app crypto, revolut, crypto accounts",9,View your crypto card payments | Crypto payments and how they work | Pay with Revolut Ramp
51,APP scam reimbursement,"reimbursement, scam, payment, fraud, authorised, push, assess, claim, caution, eligible",5,Authorised Push Payment fraud reimbursement | APP fraud reimbursement eligibility | Authorised Push Payment fraud reimbursement requirements
52,Compare Revolut paid plans,"plans, everyday, plan, month, benefits, everyday protection, additional fees, protection insurance, sidebyside, compare plans",5,Ultra plan | Premium plan | Metal plan
53,Account transition impact,"revolut bank, products, provided revolut, transition, provided, account transition, bank, services, changes, bank uk",6,How will the account transition affect returns/chargebacks? | Will the transition affect my Pro products and services? | Will this affect my other Revolut products?
54,Revolut service providers and regulation,"services, data, authority, revolut trading, uk, revolut, bank uk, revolut revolut, financial conduct, conduct authority",6,Who provides Revolut's crypto services? | Which Revolut companies provide me with services? | Reasons you can trust Revolut
55,Bond investment basics,"bonds, bond, maturity, issuer, risk, price, disclosurehttpswwwrevolutcomlegalrtlriskdisclosure, risk disclosurehttpswwwrevolutcomlegalrtlriskdisclosure, typically, corporate",6,Advantages of investing in bonds | Get started with Bonds | Bonds terms and definitions
56,International transfer intermediary bank fees,"intermediary, fees, bank, fee, charge, international, transfer, intermediary bank, transfers, upfront",7,Can I cover intermediary bank fees upfront? | Why was my transfer sent via an intermediary bank? | Bank transfer fees
57,Downgrading paid plans,"downgrade, plan, paid plan, paid, downgrade plan, break, downgrade fees, 14 days, fee, partner",6,Promotional and free trials | Downgrading your paid plan | Paid plan downgrade fees 
58,Card payment declined,"declined, payment declined, merchant, card, withdrawal, card linked, try, payment, declined transaction, check",7,My card payment was declined | Why was my card payment declined if I have enough funds? | Declined card payment isn't visible
59,Spare change round ups,"spare change, spare, donations, change, donation, rounded, nearest, rounded nearest, donate, charity",7,Crypto spare change | Spare change round ups | Spare change and recurring Donations
60,60_deposit_card_pay_topup,"deposit, card, pay, topup, google, external bank, apple, google pay, add, pay google",7,Manage my deposit cards | How to add money with a card | Add money with Apple Pay or Google Pay
61,Closed restricted or deceased accounts,"closed, death, restricted, account, persons, email, reactivation, let know, information, account closed",5,Can I reopen my closed account? | My account was restricted or closed | What happens if the Revolut account holder passes away?
62,Report fraudulent transactions,"freeze, report, fraudulent, card, report fraudulent, freeze card, atm, tap freeze, terminate, help",6,My card has been used fraudulently | Report a fraudulent transfer | Report a fraudulent ATM withdrawal
