title,topic_id
How can I see my cashflow analytics?,43
How can I see my spending and income analytics?,43
How can I see my total wealth analytics?,43
How do I add a custom asset to my total wealth view?,43
How to assign and adjust categories,46
Create and manage custom categories for transactions,46
How does sorting to investments work?,64
How are trips defined for travel analytics?,1
How can I see my travel analytics?,43
How does travel mode work?,-1
Using the Income Sorter feature,64
What is the analytics dashboard?,43
Why wasn’t my income sorted?,64
How does Bulgaria adopting the Euro affect me?,-1
What is Open Banking and how does it work?,65
How will the account transition affect returns/chargebacks?,53
Are funds in my  independent teen account FSCS protected?,20
Can I keep my e-money account?,28
Does the account transfer impact my plan insurance cover?,1
How will I know when my account has been moved?,28
Is my account eligible to be moved to Revolut Bank?,28
Is the money in my Savings account protected by the FSCS?,20
"Now that Revolut is a bank, how is my money protected?",20
What do I need to do to move my account to a bank account?,28
What happens to my data while my account is being moved?,28
What will happen to my account when it’s moved?,20
What will happen to my Joint account?,28
Who regulates Revolut Bank and where can I complain?,54
Why is Revolut becoming a bank in the UK?,20
Will my account be at risk while it's being moved over?,28
Will my account details change after my account is moved?,28
Will my fees and charges change now that Revolut is a bank?,53
Will Revolut Bank have physical branches?,-1
Will the account transition have any tax implications?,28
Will this affect my other Revolut products?,53
Why didn't I get a bank account when I signed up?,20
Will my hardware be affected by the account transition?,53
Will the transition affect my Pro products and services?,53
Why is my balance now negative?,38
Add money in one tap,7
Add money with a bank transfer,7
Add money with an easy bank transfer,7
Get paid early with Early Salary,7
Card deposit limits and fees,66
How to make cash deposits,60
Disruptions to adding money with Visa cards,66
Receiving money to my Revolut card,7
How to add money with a card,60
Add money with Apple Pay or Google Pay,60
Auto top-ups,60
Manage my deposit cards,60
My card deposit didn't work,-1
Restricted card deposits,66
Ukraine card top-up limits,66
Why was my top-up reverted?,38
Cards and currencies supported for adding money,4
Why your card top-ups may be blocked,-1
Requesting money with a payment link,12
How to split a bill with another Revolut customer,-1
Am I covered by Ultra trip cancellation protection if I need to cancel a flight while abroad?,14
Am I covered for trips or events that I didn't purchase with my Revolut account with Ultra trip and event cancellation protection?,14
Ultra trip & event cancellation with companion coverage,14
How do I get an update on my existing claim?,15
Cancel for any reason complaints,15
How do I make a cancel for any reason protection claim?,14
My supplier won’t let me cancel my trip/event. Am I covered with Ultra trip and event cancellation protection?,14
Does moving home affect Ultra trip and event coverage?,1
Will I get a full refund for my trip or event cancellation?,14
What are the limits of cover and deductibles?,14
Getting started with cancel for any reason protection,14
Documents needed for an Ultra trip and event cancellation protection claim,14
What is a trip?,14
What is an event?,14
Who provides Ultra trip and event cancellation protection?,14
How do I link an external account to Revolut?,7
Manage my external linked accounts in Revolut,-1
Can I accept multiple paid plan gifts?,40
Gifting a paid plan,40
How to share your birthday on Revolut,40
Receiving paid plan gifts,40
Sending paid plan gifts,40
What happens once the gifted paid plan duration ends?,40
Earning interest with Savings,39
Getting started with Savings,39
How to calculate interest on Savings accounts,39
How is interest calculated on tiered Instant Access Savings?,39
Rate decrease on my Instant Access Savings,39
Why is my withdrawal pending?,19
Savings Challenge,39
Instant Access Savings promotion,39
Tax on Savings,-1
How are the funds in my Savings accounts protected?,20
Why was my Savings Accounts restricted or closed?,61
Add money to your savings account,-1
Close my Savings account,22
Withdraw from your Savings account,-1
Documents and statements for my Savings accounts,16
Cover for cancelled and interrupted trips,14
Do I have to pay for my trip using my Revolut account?,1
Claiming after Premium travel insurance removal,1
Does moving home impact my travel insurance?,1
Travel insurance coverage,1
Travel insurance for areas affected by conflict,1
Close a Pocket,27
How do I manage a Group Pocket?,27
Adding money to Pockets,27
Withdrawing from Pockets,27
Spare change round ups,59
I can't find my Vaults,27
How to link a card to a Pocket and manage it,27
Getting started with Pockets,27
What if I don't have enough money in my bills Pocket?,-1
What is Revolut Pay?,-1
How to withdraw cash from an ATM,-1
Fees for cash withdrawals,18
My card payment is pending,38
How to disable RevPoints spare change?,-1
Why did my payment amount change?,38
Fees for card payments in a foreign currency,18
Setting a monthly spending limit,12
How do regulatory limits affect my usage?,33
Am I eligible for Apple Pay?,4
Am I eligible for Google Pay?,4
Payment limits when using Apple Pay or Google Pay,12
Decline reasons on Apple Pay and Google Pay,-1
Setting up Apple Pay,33
Setting up Google Pay,35
Where can I pay with Apple Pay or Google Pay?,12
How do I block and unblock a merchant?,68
What currencies are supported for spending?,4
Card payment fees and limits,12
Card verification and pre-authorisation,-1
What is Dynamic Currency Conversion (DCC)?,-1
Which merchants are not supported by Revolut?,4
What is a virtual card?,41
My virtual card is not working,41
Problems with my card PIN,33
Why was my card payment declined if I have enough funds?,58
What is 3D Secure?,-1
Delayed (offline) card payments,38
Where can I use my Revolut card?,4
Am I eligible for Click to Pay?,4
How do I add cards to Click to Pay?,35
How can I remove my card from Click to Pay?,35
What is Click to Pay?,35
Why is my card added to Click to Pay not shown at checkout?,35
Declined card payment isn't visible,58
My card payment was declined by the security system,-1
What is the location-based security feature?,65
My card payment was declined,58
Why has my card payment been reverted?,38
Report a card payment as a scam or fraud,62
Card security settings,33
Freeze a card,-1
How to cancel a dispute,23
Dispute a card payment,-1
Dispute process and timelines,67
Update on my chargeback case,67
Problems with a refund,67
Revolut Chrome Extension,-1
How to withdraw a foreign currency,-1
Limits for using my card abroad,18
Tips for spending in a foreign currency,-1
What currency will I be charged in?,42
Manage subscription payments to merchants,68
Report a fraudulent ATM withdrawal,62
When does my ATM withdrawal limit reset?,18
Why is my ATM withdrawal pending?,19
Why was my ATM withdrawal declined?,-1
Activate a physical card,-1
Reactivate a card,44
I can't add my card to Apple Pay,33
My card was stolen. What should I do?,44
The name on my card is incorrect,5
Why is my Apple Pay card number different from my Revolut's?,33
My card has been swallowed by an ATM,62
Why aren’t my contactless payments working?,-1
My single-use virtual card isn't working,41
My physical card isn't working,44
What should I do if my card is expiring soon?,44
Can I cancel or edit a card order?,13
Can I choose between Mastercard and Visa?,13
Maximum active cards,41
What are the fees for ordering a card?,13
Creating a virtual card,41
I ordered a card and it didn't arrive,13
Card customisation,13
How does the Clear Sky debit card support Ukraine?,-1
Order a physical card,13
How do I get the Clear Sky debit card?,-1
What is a special edition card?,13
What card brands and types can I get?,4
Finding the card PIN,33
Linking an existing card,35
Can I order my card to a different address?,13
How do I use a Revolut virtual card?,41
I received a card that I had marked as undelivered,44
I found my lost card,44
My card has been used fraudulently,62
Glossary of onboarding terms,11
Manage scheduled transfers,46
More help with a scheduled transfer,46
Schedule a transfer,46
Cash withdrawal limits and fees,18
Getting started with Pet Insurance,25
How do I make a protection insurance claim?,15
What's the excess for purchase insurance claims?,15
Submitting documents for a purchase insurance claim,15
Is my mobile device covered by Revolut purchase protection?,15
Getting started with purchase insurance,15
What's not covered under purchase insurance?,15
What items are eligible for purchase insurance?,15
Getting an update on an everyday protection claim,15
Who provides Revolut's everyday protection insurance?,15
Purchase protection coverage,15
Refund protection coverage,15
Event ticket cancellation protection coverage,14
Getting started with travel insurance,1
What is the excess for travel insurance claims?,1
Trips covered by travel insurance,1
Why is my travel insurance coverage ending?,1
Submitting documents for a travel insurance claim,1
How can I view my travel insurance policy documents?,25
How do I get an update on my existing claim?,1
How do I make a travel insurance claim?,1
Emergency medical assistance abroad,1
Cover for car hire excess,1
Cover for delayed trips,1
