topic_id,size,name,keywords
-1,112,-1_revolut_account_tap_card,
0,35,0_order_price_orders_stop,"order, price, orders, stop, trading, buy, market, limit, hours, sell"
1,23,1_travel_insurance_travel insurance_chubb,"travel, insurance, travel insurance, chubb, trip, cover, claim, covered, revolut travel, coverage"
2,20,2_purchases_reward_referrals_campaign,"purchases, reward, referrals, campaign, invitee, step, deadline, make, referral, friend"
3,20,3_crypto_cryptocurrencies_ramp_fiat,"crypto, cryptocurrencies, ramp, fiat, tokens, cryptocurrency, revolut, web terminal, commodities, private"
4,18,4_supported_currencies_countries_currently,"supported, currencies, countries, currently, republic, unsupported, cards, following, transfers, chf"
5,18,5_passcode_device_log_email,"passcode, device, log, email, id, phone number, phone, number, verify, face id"
6,17,6_subscription_benefit_ultra customers_ultra,"subscription, benefit, ultra customers, ultra, access, metal, metal ultra, benefits tap, plan scroll, activate"
7,17,7_bank_transfer_bank transfer_transfers,"bank, transfer, bank transfer, transfers, external, money, salary, easy bank, easy, account"
8,17,8_crypto_network_address_deposit,"crypto, network, address, deposit, networks, blockchain, transaction, addresses, wallet, deposits"
9,16,9_revpoints_points_airline_booking,"revpoints, points, airline, booking, miles, redeem, loyalty, revpoints menu, gift, stays"
10,16,10_kids_teens_kids teens_teens account,"kids, teens, kids teens, teens account, kid, revolut kids, child, teens card, select kids, account"
11,15,11_etps_investment_underlying_exchangetraded,"etps, investment, underlying, exchangetraded, highrisk, invest, investments, investor, asset, assets"
12,15,12_payment_payments_reader_iphone,"payment, payments, reader, iphone, payment link, link, pay, tap pay, accept, pay iphone"
13,15,13_delivery_card_physical_physical card,"delivery, card, physical, physical card, cards, order, card order, design, ordering, standard"
14,14,14_event_trip_reason_cancellation,"event, trip, reason, cancellation, trip event, claim, cancel reason, cancel, ultra, cancellation protection"
15,13,15_qover_purchase_insurance_purchase insurance,"qover, purchase, insurance, purchase insurance, claim, items, protection, search, insurance select, item"
16,12,16_statement_statements_documents_download,"statement, statements, documents, download, documents statements, confirmation, consolidated, generated, select documents, document"
17,12,17_national_tax_identification_national id,"national, tax, identification, national id, identification number, id, country, number, provide, information"
18,12,18_limits_withdrawal_limit_fee,"limits, withdrawal, limit, fee, fees, exchanges, atm, exchange, charged, withdrawals"
19,12,19_transfer_reverted_business days_bank,"transfer, reverted, business days, bank, pending, business, transfers, recipient, funds, days"
